ALBUM,CONS,EXCL,LINE,MOJO,PASTE,PFORK,QTUS,RS,RT,SGUM,TREBLE,UNCUT,WIRE,CMPLX,LTW,NME,BLBRD,CRACK,DORK,DBLJ,ERMLK,FADER,FLOOD,KRNG,MONDO,NORIP,POPMT,SLANT,NT,,,,,,,,,,,,,,,,,AVG,WT-AVG,CONS SCORE,# Lists,Top 10s,#1s
Julia Wolf - Pressure,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,22.00,22,73.17241379,1,0,0
Zero Again - Ever-Changing is the Art of Death,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.00,22,73.17241379,1,0,0
Babymetal - Metal Forth,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,23.00,23,73.20689655,1,0,0
Bassvictim - Forever,,,,,,49,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,49.00,24.5,73.20689655,2,0,0
Ca7riel & Paco Amoroso - Papota,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.00,23,73.20689655,1,0,0
Conflict - This Much Remains,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.00,23,73.20689655,1,0,0
Cryogeyser - Cryogeyser,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.00,23,73.20689655,1,0,0
Destroyer - Dan's Boogie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,23.00,23,73.20689655,1,0,0
Holden & Zimpel - The Universe Will Take Care of You,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.00,23,73.20689655,1,0,0
"Johnny Beth - You Heartbreaker, You",,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.00,23,73.20689655,1,0,0
Natural Information Society - Perseverance Flow,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.00,23,73.20689655,1,0,0
Safe Mind - Cutting The Stone,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,23.00,23,73.20689655,1,0,0
After - After EP 2,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,24.00,24,73.24137931,1,0,0
Ken Carson - More Chaos,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,24,73.24137931,1,0,0
Leo Chadburn - Sleep in the Shadow of the Alternator,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,24,73.24137931,1,0,0
Mogwai - The Bad Fire,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,24,73.24137931,1,0,0
Mulatu Astatke - Mulatu Plays Mulatu,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,24.00,24,73.24137931,1,0,0
Night Tapes - Portals//Polarities,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,24.00,24,73.24137931,1,0,0
Sunny War - Armageddon in a Summer Dress,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,24,73.24137931,1,0,0
Teyana Taylor - Escape Room,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,24,73.24137931,1,0,0
The Murder Capital - Blindness,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,24.00,24,73.24137931,1,0,0
Tropical Fuck Storm - Fairyland Codex,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,24,73.24137931,1,0,0
Armory Show - Dead Souls,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.00,25,73.27586207,1,0,0
Ball Park Music - Like Love,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,25.00,25,73.27586207,1,0,0
Bambinodj - Silent Dispatch,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,25.00,25,73.27586207,1,0,0
Lucy Dacus - Forever is a Feeling,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,25.00,25,73.27586207,1,0,0
Shlohmo - Repulsor,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.00,25,73.27586207,1,0,0
"Širon - In the Wind of Night, Hard-Fallen Incantations Whisper",,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.00,25,73.27586207,1,0,0
Various Artists - KPop Demon Hunters,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.00,25,73.27586207,1,0,0
Witchfever - Fevereaten,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,25.00,25,73.27586207,1,0,0
Avi C. Engel - Mote,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.00,26,73.31034483,1,0,0
Chris Eckman - The Land We Knew The Best,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.00,26,73.31034483,1,0,0
Emma Goldman - All You Are is We,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.00,26,73.31034483,1,0,0
Everything is Psychedelic - The Beautiful Malaise,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.00,26,73.31034483,1,0,0
Stray From The Path - Clockworked,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,26.00,26,73.31034483,1,0,0
Ambrose Akinmusire - Honey From a Winter Stone,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.00,27,73.34482759,1,0,0
"Amore - Top Hits, Ballads, Etc...",,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,27.00,27,73.34482759,1,0,0
Employed To Serve - Fallen Star,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,27.00,27,73.34482759,1,0,0
Los Pirañas - Una Oportunidad más de triunfar en la vida,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.00,27,73.34482759,1,0,0
Minor Gold - Way to the Sun,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,27.00,27,73.34482759,1,0,0
Ohyung - You Are Always On My Mind,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.00,27,73.34482759,1,0,0
Private Function - ¯\_(ツ)_/¯,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.00,27,73.34482759,1,0,0
Sarz - Protect Sarz At All Costs,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.00,27,73.34482759,1,0,0
Welly - Big in the Suburbs,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,27.00,27,73.34482759,1,0,0
Black Eyes - Hostile Design,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.00,28,73.37931034,1,0,0
"Cline, Laubrock, Lightcap & Rainey - Consentrik Quartet",,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,28.00,28,73.37931034,1,0,0
Drain - ...Is Your Friend,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,28.00,28,73.37931034,1,0,0
Ora The Molecule - Dance Therapy,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,28.00,28,73.37931034,1,0,0
Paul Kelly - Seventy,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,28.00,28,73.37931034,1,0,0
Exo - Exo,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,29.00,29,73.4137931,1,0,0
Jacob Alon - In Limerence,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.00,29,73.4137931,1,0,0
Jennie - Ruby,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.00,29,73.4137931,1,0,0
Landmvrks - The Darkest Place I've Ever Been,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,29.00,29,73.4137931,1,0,0
Microcorps - Clear Vortex Chamber,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.00,29,73.4137931,1,0,0
Royal Otis - Hickey,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,29.00,29,73.4137931,1,0,0
Slikback - Attrition,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.00,29,73.4137931,1,0,0
Tulpa - Monster of the Week,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.00,29,73.4137931,1,0,0
Alpha Maid - Is This a Queue,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,30,73.44827586,1,0,0
Bitchin Bajas - Inland See,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,30,73.44827586,1,0,0
Burntspecht - Konstrukt 5,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,30,73.44827586,1,0,0
Cardiacs - LSD,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,30,73.44827586,1,0,0
Chasing Ghosts - Therapy,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,30,73.44827586,1,0,0
Home Is Where - Hunting Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,30.00,30,73.44827586,1,0,0
Odeal - The Summer That Saved Me,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,30.00,30,73.44827586,1,0,0
Oneohtrix Point Never - Tranquilizer,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,30,73.44827586,1,0,0
Sombr - I Barely Know Her,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,30,73.44827586,1,0,0
The Besnard Lakes - The Besnard Lakes are the Ghost Nation,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,30.00,30,73.44827586,1,0,0
Halestorm - Everest,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,31.00,31,73.48275862,1,0,0
Kevin Abstract - Blush,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,31.00,31,73.48275862,1,0,0
Manic Street Preachers - Critical Thinking,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.00,31,73.48275862,1,0,0
"The Reds, Pinks and Purples - The Past is a Garden I Never Fed",,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.00,31,73.48275862,1,0,0
The Telephone Numbers - Scarecrow II,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,31.00,31,73.48275862,1,0,0
Close Counters - Lovers Dance Academy,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,32.00,32,73.51724138,1,0,0
Loyle Carner - Hopefully!,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.00,32,73.51724138,1,0,0
Lucy Ralton - Blue Veil,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.00,32,73.51724138,1,0,0
Madi Diaz - Fatal Optimist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,32.00,32,73.51724138,1,0,0
Marina Satti - Pop Too,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,32.00,32,73.51724138,1,0,0
Patrick Wolf - Crying The Neck,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.00,32,73.51724138,1,0,0
Shame - Cutthroat,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,32.00,32,73.51724138,1,0,0
Split Chain - Motionblur,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,32.00,32,73.51724138,1,0,0
Stella Donnelly - Love and Fortune,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,32.00,32,73.51724138,1,0,0
The Man From Delmonte - Better Things,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.00,32,73.51724138,1,0,0
The Weather Station - Humanhood,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.00,32,73.51724138,1,0,0
WNC WhopBezzy & 70th Street Carlos - Out The Blue,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.00,32,73.51724138,1,0,0
Blk Odyssy - Mood Control,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,33.00,33,73.55172414,1,0,0
Craig Finn - Always Been,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,33.00,33,73.55172414,1,0,0
Dean Wareham - That's The Price of Loving Me,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.00,33,73.55172414,1,0,0
Dying Wish - Flesh Stays Together,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,33.00,33,73.55172414,1,0,0
Hannah Cohen - Earthstar Mountain,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.00,33,73.55172414,1,0,0
Iron & Wine & Ben Bridwell - Making Good Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,33.00,33,73.55172414,1,0,0
Jesse Welles - Middle,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,33.00,33,73.55172414,1,0,0
Makaya McCraven - Off The Record,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.00,33,73.55172414,1,0,0
Nation of Language - Dance Called Memory,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.00,33,73.55172414,1,0,0
Nino Paid - Love Me As I Am,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.00,33,73.55172414,1,0,0
Osees - Abomination Revealed At Last,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.00,33,73.55172414,1,0,0
Scarab - Burn After Listening,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.00,33,73.55172414,1,0,0
Valentina Magaletti & YPY - Kansai Bruises,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.00,33,73.55172414,1,0,0
Vayda - Get In The Car,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,33.00,33,73.55172414,1,0,0
BabyChiefDoit - Zoo Life,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00,34,73.5862069,1,0,0
British Birds - Silence Daedalus,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00,34,73.5862069,1,0,0
Crystabel Efemena Riley - Live at Ormside,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00,34,73.5862069,1,0,0
Dan English - Sky Record,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,34.00,34,73.5862069,1,0,0
I Prevail - Violent Nature,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,34.00,34,73.5862069,1,0,0
Imperial Triumphant - Goldstar,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,34.00,34,73.5862069,1,0,0
Leanne Betasamosake Simpson - Live Like the Sky,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00,34,73.5862069,1,0,0
Monaleo - Who Did The Body,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00,34,73.5862069,1,0,0
Open Mike Eagle - Neighborhood Gods Unlimited,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00,34,73.5862069,1,0,0
Ruger - BlownBoy RU,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,34.00,34,73.5862069,1,0,0
Throwing Muses - Moonlight Concessions,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00,34,73.5862069,1,0,0
Wretch 32 - Home?,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00,34,73.5862069,1,0,0
Ahmend - Sama'a (Audition),,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.00,35,73.62068966,1,0,0
Castle Rat - The Bestiary,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,35.00,35,73.62068966,1,0,0
Cut Copy - Moments,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,35.00,35,73.62068966,1,0,0
Ganavya - Nilam,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.00,35,73.62068966,1,0,0
Kathryn Mohr - Waiting Room,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.00,35,73.62068966,1,0,0
No Joy - Bugland,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.00,35,73.62068966,1,0,0
Sol Chyld - ReBirth.Theory,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,35.00,35,73.62068966,1,0,0
The Dissidents & D.O.V.E. - A Better World,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.00,35,73.62068966,1,0,0
The Worm - Pantilde,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.00,35,73.62068966,1,0,0
Whirr - Raw Blue,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,35.00,35,73.62068966,1,0,0
Cosmic Ear - Traces,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.00,36,73.65517241,1,0,0
Emma Pollock - Begging The Night to Take Hold,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.00,36,73.65517241,1,0,0
Garbage - Let All That We Imagine Be The Light,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,36.00,36,73.65517241,1,0,0
Joey Valence & Brae - Hyperyouth,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,36.00,36,73.65517241,1,0,0
King Princess - Girl Violence,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,36.00,36,73.65517241,1,0,0
Molly Santana - Molly and Her Week of Wonders,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,36.00,36,73.65517241,1,0,0
Partyof2 - Amerika's Next Top Party!,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,36.00,36,73.65517241,1,0,0
Pupil Slicer - Fleshwork,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,36.00,36,73.65517241,1,0,0
The Loft - Everything Changes Everything Stays The Same,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.00,36,73.65517241,1,0,0
Divide and Dissolve - Insatiable,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,37,73.68965517,1,0,0
Gabe 'Nandez & Preservation - Sortilège,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,37,73.68965517,1,0,0
Meg Washington - Gem,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,37,73.68965517,1,0,0
Natural Information Society & Bitchin Bajas - Totality,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,37,73.68965517,1,0,0
Tony Njoku - All Our Knives are Always Sharp,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,37,73.68965517,1,0,0
Yves Jarvis - All Cylinders,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,37.00,37,73.68965517,1,0,0
Africa Express - Africa Express Presents...Bahidorá,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,38.00,38,73.72413793,1,0,0
Baths - Gut,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,38.00,38,73.72413793,1,0,0
Bleed From Within - Zenith,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,38.00,38,73.72413793,1,0,0
Easykid - I'm Part,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,38.00,38,73.72413793,1,0,0
Jeffrey Lewis - The Even More Freewheelin' Jeffrey Lewis,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.00,38,73.72413793,1,0,0
John Butler - Prism,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,38.00,38,73.72413793,1,0,0
Jules Reidy - Ghost/Spirit,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.00,38,73.72413793,1,0,0
Kali Malone & Drew McDowall - Magnetism,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.00,38,73.72413793,1,0,0
Loaded Honey - Love Made Trees,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.00,38,73.72413793,1,0,0
Mac Miller - Balloonerism,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.00,38,73.72413793,1,0,0
Sammy Virji - Same Day Cleaning,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.00,38,73.72413793,1,0,0
The Delines - Mr. Luck & Ms. Doom,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.00,38,73.72413793,1,0,0
Anna B Savage - You & I are Earth,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,39.00,39,73.75862069,1,0,0
Carrier - Rhythm Immortal,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.00,39,73.75862069,1,0,0
Ela Taubert - Preguntas A Las 11:11,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,39.00,39,73.75862069,1,0,0
Hot Mulligan - The Sound a Body Makes When It's Still,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,39.00,39,73.75862069,1,0,0
It's Karma It's Cool - One Million Suburban Sunsets,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.00,39,73.75862069,1,0,0
Jonathan Richman - Only Frozen Sky Anyway,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.00,39,73.75862069,1,0,0
Lea Bertucci - The Oracle,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.00,39,73.75862069,1,0,0
Lost Crowns - The Heart Is In The Body,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.00,39,73.75862069,1,0,0
Morgan Wallen - I'm The Problem,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.00,39,73.75862069,1,0,0
Rhiannon Giddens & Justin Robinson - What Did the Blackbird Say...,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.00,39,73.75862069,1,0,0
Ty Segall - Possession,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,39.00,39,73.75862069,1,0,0
Charley Crockett - A Dollar A Day,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,40,73.79310345,1,0,0
Clara Mann - Rift,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,40.00,40,73.79310345,1,0,0
De La Soul - Cabin in the Sky,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,40,73.79310345,1,0,0
FACS - Wish Defense,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,40.00,40,73.79310345,1,0,0
Jordan Patterson - The Hermit,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,40.00,40,73.79310345,1,0,0
KenTheMan - Kinda Famous,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,40,73.79310345,1,0,0
Kettama - Archangel,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,40.00,40,73.79310345,1,0,0
King Gizzard & The Lizard Wizard - Phantom Island,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,40,73.79310345,1,0,0
Ryan Castro - Sendé,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,40,73.79310345,1,0,0
Sharp Pins - Balloon Balloon Balloon,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,40,73.79310345,1,0,0
SharpKnel & Mike Ladd - Saisir Le Feu,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,40,73.79310345,1,0,0
SharpKnel & Ohbliv - Armature,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,40,73.79310345,1,0,0
