ALBUM,ID,genre,RTRADE,RSTONE,Q,PASTE,NME,MOJO,DRWND,CoS,UNCUT,SKINNY,CMPLX,CRACK,GvsB,NOISEY,QUIETUS,STRGUM,UPROXX,VNLFCT,WIRE,POPMAT,PFORK,NPR,SPIN,LINE,TMT,ALTERN,FACT,,,,,,,,,,AVG,WT-AVG,CONS SCORE,# Lists,Top 10s
Leo Hoffsaes & Loto Retina - Early Contact,491,electronic,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,28.00,28,73.25925926,1,0
Everything Everything - A Fever Dream,104,art pop,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.00,29,73.2962963,1,0
Nai Palm - Needle Paw,133,soul,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.00,29,73.2962963,1,0
Arcade Fire - Everything Now,155,alternative dance,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.00,29,73.2962963,1,0
Kweku Collins - grey,217,hip hop,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.00,29,73.2962963,1,0
Michael Chapman - 50,232,folk,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.00,29,73.2962963,1,0
Washed Out - Mister Mellow,316,chillwave,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,29.00,29,73.2962963,1,0
Vanishing - Vanishing,358,electronic,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,29.00,29,73.2962963,1,0
Counterparts - You're Not You Anymore,382,metalcore,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,29.00,29,73.2962963,1,0
Fabiano Do Nascimento - Tempo dos Mestres,389,folk,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,29.00,29,73.2962963,1,0
Brooklyn Raga Massive - Terry Riley In C,437,classical,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,29.00,29,73.2962963,1,0
Half Waif - form/a,480,art pop,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,29.00,29,73.2962963,1,0
CupcakKe - Queen Elizabitch,492,hip hop,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,29.00,29,73.2962963,1,0
"Fire Is Motion - Still, I Try",523,emo,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,29.00,29,73.2962963,1,0
Nabihah Iqbal - Weighing of the Heart,544,alternative,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,29.00,29,73.2962963,1,0
Chris Stapleton - From A Room: Volume 1,73,americana,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,30,73.33333333,1,0
Sote - Sacred Horror in Design,438,electronic,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,30.00,30,73.33333333,1,0
Ron Miles - I Am a Man,463,jazz,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,30.00,30,73.33333333,1,0
Lawrence English - Cruel Optimism,493,drone,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,30.00,30,73.33333333,1,0
Rose Elinor Dougall - Stellular,31,indie pop,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.00,31,73.37037037,1,0
Sonder - Into,265,r&b,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,31.00,31,73.37037037,1,0
Jessie Ware - Glasshouse,473,pop soul,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,31.00,31,73.37037037,1,0
The Obsessives - The Obsessives,524,indie rock,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,31.00,31,73.37037037,1,0
Tamikrest - Kidal,172,rock,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.00,32,73.40740741,1,0
Colin Stetson - All This I Do For Glory,195,avant-garde jazz,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.00,32,73.40740741,1,0
Tori Amos - Native Invader,218,singer-songwriter,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.00,32,73.40740741,1,0
A$AP Twelvyy - 12,266,hip hop,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,32.00,32,73.40740741,1,0
Ragana - You Take Nothing,334,sludge metal,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,32.00,32,73.40740741,1,0
DJ Seinfeld - Time Spent Away From U,387,house,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,32.00,32,73.40740741,1,0
Sarah Davachi - All My Circles Run,439,ambient,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,32.00,32,73.40740741,1,0
Curtis Harding - Face Your Fear,452,soul,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,32.00,32,73.40740741,1,0
Khaki Blazer - Didn't Have to Cut,494,experimental,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,32.00,32,73.40740741,1,0
Rainforest Spiritual Enslavement - Ambient Black Magic,545,ambient,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,32.00,32,73.40740741,1,0
Nadine Khouri - The Salted Air,33,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.00,33,73.44444444,1,0
Penguin Cafe - The Imperfect Sea,136,modern classical,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.00,33,73.44444444,1,0
Sevdaliza - ISON,294,trip hop,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,33.00,33,73.44444444,1,0
Luka Productions - Fasokan,404,new age,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,33.00,33,73.44444444,1,0
Akio Suzuki & John Butcher - Immediate Landscapes,440,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,33.00,33,73.44444444,1,0
Tonu Korvits - Moorland Elegies,464,classical,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,33.00,33,73.44444444,1,0
Konrad Sprenger - Stack Music,495,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,33.00,33,73.44444444,1,0
Smidley - Smidley,525,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,33.00,33,73.44444444,1,0
The Magnetic Fields - 50 Song Memoir,173,indie pop,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00,34,73.48148148,1,0
Saint Etienne - Home Counties,234,indie pop,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00,34,73.48148148,1,0
Meek Mill - Wins & Losses,267,trap rap,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,34.00,34,73.48148148,1,0
RE-Tros - Before The Applause,359,post-punk,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,34.00,34,73.48148148,1,0
Incendiary - Thousand Mile Stare,397,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,34.00,34,73.48148148,1,0
Tornado Wallace - Lonely Planet,415,deep house,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,34.00,34,73.48148148,1,0
Ty Dolla $ign - Beach House,474,r&b,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,34.00,34,73.48148148,1,0
Giant Claw - Soft Channel,496,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,34.00,34,73.48148148,1,0
"Perspective, A Lovely Hand To Hold - What Not To Do",526,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,34.00,34,73.48148148,1,0
The Black Angels - Death Song,35,psychedelic rock,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.00,35,73.51851852,1,0
Bob Dylan - Triplicate,78,folk rock,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.00,35,73.51851852,1,0
King Gizzard and the Lizard Wizard - Flying Microtonal Banana,235,psychedelic rock,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.00,35,73.51851852,1,0
Dua Lipa - Dua Lipa,268,electropop,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,35.00,35,73.51851852,1,0
"Omar Souleyman - To Syria, With Love",291,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,35.00,35,73.51851852,1,0
Land of Talk - Life After Youth,401,indie rock,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,35.00,35,73.51851852,1,0
Lomelda - Thx,403,indie rock,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,35.00,35,73.51851852,1,0
Ex Eye - Ex Eye,475,avant-garde metal,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,35.00,35,73.51851852,1,0
Woopheadclrms - Meeting Room + Rare Plants,497,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,35.00,35,73.51851852,1,0
Harmony Woods - Nothing Special,527,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,35.00,35,73.51851852,1,0
Lindsey Buckingham & Christine McVie - S/T,79,pop rock,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.00,36,73.55555556,1,0
Elbow - Little Fictions,109,art rock,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.00,36,73.55555556,1,0
Melkbelly - Nothing Valley,138,noise rock,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.00,36,73.55555556,1,0
"Creeper - Eternity, In Your Arms",158,pop punk,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.00,36,73.55555556,1,0
Wire - Silver/Lead,174,post-punk,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.00,36,73.55555556,1,0
Amine - Good For You,269,pop rap,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,36.00,36,73.55555556,1,0
SASSY 009 - Do You Mind,319,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,36.00,36,73.55555556,1,0
Kemper Norton - Hungan,360,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,36.00,36,73.55555556,1,0
Davy Kehoe - Short Passing Game,383,electronic,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,36.00,36,73.55555556,1,0
Strand of Oaks - Hard Love,412,indie rock,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,36.00,36,73.55555556,1,0
Ariel Pink - Dedicated to Bobby Jameson,546,hypnagogic pop,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,36.00,36,73.55555556,1,0
Noel Gallagher's Flying Birds - Who Built the Moon?,80,pop rock,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,37,73.59259259,1,0
21 Savage - Issa Album,270,hip hop,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,37,73.59259259,1,0
Chloe x Halle - The Two Of Us,361,alternative r&b,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,37.00,37,73.59259259,1,0
Collocutor - The Search,380,free improvisation,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,37.00,37,73.59259259,1,0
SADAF - SHELL,442,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,37.00,37,73.59259259,1,0
Washer - All Aboard,528,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,37.00,37,73.59259259,1,0
UMFANG - Symbolic Use of Light,547,techno,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,37.00,37,73.59259259,1,0
Royal Blood - How Did We Get So Dark?,38,hard rock,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.00,38,73.62962963,1,0
Residente - Residente,81,art pop,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.00,38,73.62962963,1,0
Trent Reznor & Atticus Ross - Before The Flood,197,ambient,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.00,38,73.62962963,1,0
Vic Mensa - The Autobiography,220,hip hop,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.00,38,73.62962963,1,0
Robyn Hitchcock - Robyn Hitchcock,236,psychedelic pop,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.00,38,73.62962963,1,0
John Mayer - The Search For Everything,271,pop rock,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,38.00,38,73.62962963,1,0
Hitmakerchinx - Shades & Monsters: FDM Classics,285,dancehall,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,38.00,38,73.62962963,1,0
You'll Never Get To Heaven - Images,321,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,38.00,38,73.62962963,1,0
The Granite Shore - Suspended Second,362,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,38.00,38,73.62962963,1,0
Alex Cameron - Forced Witness,481,synthpop,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,38.00,38,73.62962963,1,0
Upgrayedd Smurphy - HYPNOSYS,498,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,38.00,38,73.62962963,1,0
Walter Etc. - Gloom Cruise,529,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,38.00,38,73.62962963,1,0
Lost Horizons - Ojala,39,indie rock,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.00,39,73.66666667,1,0
Kelley Stoltz - Que Aura,176,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.00,39,73.66666667,1,0
Young Dolph - Thinking Out Loud,272,trap rap,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,39.00,39,73.66666667,1,0
DJ Sports - Modern Species,322,deep house,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,39.00,39,73.66666667,1,0
Mabel - Ivy To Roses,332,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,39.00,39,73.66666667,1,0
The Caretaker - Everywhere at the End of Time - Stage 3,363,ambient,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,39.00,39,73.66666667,1,0
Benedek - Bene's World,375,synth funk,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,39.00,39,73.66666667,1,0
Chris Stapleton - From A Room: Volume 2,378,country,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,39.00,39,73.66666667,1,0
Heaven In Her Arms - White Halo,394,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,39.00,39,73.66666667,1,0
Tyler Childers - Purgatory,465,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,39.00,39,73.66666667,1,0
Brockhampton - Saturation,530,hip hop,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,39.00,39,73.66666667,1,0
Brockhampton - Saturation III,531,hip hop,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,39.00,39,73.66666667,1,0
Gregg Allman - Southern Blood,83,rock,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,40,73.7037037,1,0
"21 Savage, Offset & Metro Boomin - Without Warning",273,trap rap,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,40,73.7037037,1,0
The Menzingers - After The Party,336,punk rock,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,40.00,40,73.7037037,1,0
Teleplasmiste - Frequency is the New Ecstasy,364,drone,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,40.00,40,73.7037037,1,0
Delicate Steve - This Is Steve,385,indie rock,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,40.00,40,73.7037037,1,0
Chicano Batman - Freedoman is Free,453,pop rock,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,40.00,40,73.7037037,1,0
Midland - On The Rocks,466,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,40.00,40,73.7037037,1,0
Mo Troper - Exposure & Response,532,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,40.00,40,73.7037037,1,0
Endless Boogie - Vibe Killer,177,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.00,41,73.74074074,1,0
The Mynahbirds - Be Here Now,198,synthpop,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.00,41,73.74074074,1,0
Kyle Dixon & Michael Stein - Stranger Things 2,222,synthwave,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.00,41,73.74074074,1,0
Botanist - Collective: The Shape of He to Come,365,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,41.00,41,73.74074074,1,0
Dego & Kaidi - A So We Gwarn,384,electronic,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,41.00,41,73.74074074,1,0
Oddisee - The Iceberg,407,hip hop,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,41.00,41,73.74074074,1,0
Travis Meadows - First Cigarette,416,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,41.00,41,73.74074074,1,0
Amnesia Scanner - AS TRUTH,499,uk bass,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,41.00,41,73.74074074,1,0
Wiki - No Mountains in Man,533,hip hop,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,41.00,41,73.74074074,1,0
Blue Iverson - Hotep,283,r&b,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,42.00,42,73.77777778,1,0
Rex Orange County - Apricot Princess,335,r&b,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,42.00,42,73.77777778,1,0
British Sea Power - Let The Dancers Inherit The Party,366,indie rock,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,42.00,42,73.77777778,1,0
Hundreth - RARE,396,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,42.00,42,73.77777778,1,0
Once & Future Band - Once & Future Band,445,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,42.00,42,73.77777778,1,0
Pharmakon - Contact,500,noise,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,42.00,42,73.77777778,1,0
H. Grimace - Self Architect,43,post-punk,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.00,43,73.81481481,1,0
V/A - Celebrate Ornette,84,jazz,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.00,43,73.81481481,1,0
Squeeze - The Knowledge,115,pop rock,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.00,43,73.81481481,1,0
David Bazan - Care,142,indie rock,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.00,43,73.81481481,1,0
Emily Haines & The Soft Skeleton - Choir of The Mind,199,singer-songwriter,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.00,43,73.81481481,1,0
J.I.D. - The Never Story,275,hip hop,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,43.00,43,73.81481481,1,0
Al-Namrood - Enkar,367,folk metal,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,43.00,43,73.81481481,1,0
Danay Suarez - Palabras Manuales,467,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,43.00,43,73.81481481,1,0
Otim Alpha - Gulu City Anthems,548,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,43.00,43,73.81481481,1,0
Sallie Ford - Soul Sick,143,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.00,44,73.85185185,1,0
Kate Bush - Before The Dawn,180,art pop,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.00,44,73.85185185,1,0
Jake Xerxes Fussell - What in the Natural World,238,folk,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.00,44,73.85185185,1,0
Luke Reed - Won't Be There,323,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,44.00,44,73.85185185,1,0
Pancrace - Pancrace,446,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,44.00,44,73.85185185,1,0
Marika Hackman - I'm Not Your Man,482,singer-songwriter,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,44.00,44,73.85185185,1,0
Toiret Status - Nyoi Plunger,501,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,44.00,44,73.85185185,1,0
Sinai Vessel - Brokenlegged,534,emo,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,44.00,44,73.85185185,1,0
Tracy Bonham - Modern Burdens,86,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.00,45,73.88888889,1,0
Wand - Plum,144,psychedelic rock,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.00,45,73.88888889,1,0
Jesca Hoop - Memories Are Now,201,indie folk,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.00,45,73.88888889,1,0
CyHi The Prynce - No Dope On Sundays,276,hip hop,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,45.00,45,73.88888889,1,0
Youngboy Never Broke Again - A.I Youngboy,338,trap rap,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,45.00,45,73.88888889,1,0
Guerilla Toss - GT ULTRA,393,art pop,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,45.00,45,73.88888889,1,0
Foxygen - Hang,454,progressive pop,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,45.00,45,73.88888889,1,0
Bell Witch - Mirror Reaper,502,doom metal,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,45.00,45,73.88888889,1,0
The World Is A Beautiful Place... - Always Foreign,535,emo,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,45.00,45,73.88888889,1,0
Katy Perry - Witness,202,dance pop,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.00,46,73.92592593,1,0
Hans Zimmer & Benjamin Wallfisch - Blade Runner 2049,223,classical,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.00,46,73.92592593,1,0
Little Dragon - Season High,247,electropop,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,46.00,46,73.92592593,1,0
Mike Cooper - Raft,289,ambient,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,46.00,46,73.92592593,1,0
The Chopstars & Barry Jenkins - Purple Moonlight,324,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,46.00,46,73.92592593,1,0
Perc - Bitter Music,368,techno,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,46.00,46,73.92592593,1,0
Ted Leo - The Hanged Man,413,power pop,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,46.00,46,73.92592593,1,0
Mr. Mitch - Devout,468,alternative r&b,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,46.00,46,73.92592593,1,0
Hercules and Love Affair - Omnion,47,electropop,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.00,47,73.96296296,1,0
Low Cut Connie - Dirty Pictures (Part 1),88,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.00,47,73.96296296,1,0
Kiran Leonard - Derevaun Seraun,163,chamber pop,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.00,47,73.96296296,1,0
Roger Waters - Is This the Life We Really Want?,182,progressive rock,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.00,47,73.96296296,1,0
Clark - Death Peak,203,idm,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.00,47,73.96296296,1,0
The Juju - Exchange,224,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.00,47,73.96296296,1,0
Gazelle Twin - Kingdom Come,369,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,47.00,47,73.96296296,1,0
Roscoe Mitchell - Bells for the South Side,447,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,47.00,47,73.96296296,1,0
Nmesh - Pharma,503,vaporwave,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,47.00,47,73.96296296,1,0
Jelani Sei - LVNDR TWN,536,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,47.00,47,73.96296296,1,0
Public Service Broadcasting - Every Valley,48,post-rock,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.00,48,74,1,0
Chronixx - Chronology,89,reggae,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.00,48,74,1,0
Grandaddy - Last Place,204,indie rock,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.00,48,74,1,0
Lindstrom - It's Alright Between Us As It Is,240,nu-disco,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.00,48,74,1,0
HAIM - Something To Tell You,277,pop rock,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,48.00,48,74,1,0
Pessimist - Pessimist,292,drum and bass,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,48.00,48,74,1,0
Gary Numan - Savage (Songs from a Broken World),370,industrial rock,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,48.00,48,74,1,0
Blis. - No One Loves You,376,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,48.00,48,74,1,0
Carla dal Forno - The Garden,448,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,48.00,48,74,1,0
Ibibio Sound Machine - Uyai,455,afrobeat,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,48.00,48,74,1,0
Miguel Zenon - Tipico,469,jazz,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,48.00,48,74,1,0
Tara Jane O'Neil - Tara Jane O'Neil,504,singer-songwriter,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,48.00,48,74,1,0
Depeche Mode - Spirit,120,synthpop,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.00,49,74.03703704,1,0
Shelby Lynne & Allison Moorer - Not Dark Yet,147,americana,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.00,49,74.03703704,1,0
Tired Lion - Dumb Days,205,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.00,49,74.03703704,1,0
