ALBUM,ALTRNV,BPM,BLBRD,BKVEG,CLASH,CMPLX,COS,CRACK,DOUBJ,EXCLM,FADER,FAROUT,GDINTV,GVSB,GUARD,HOTPRS,KERNG,LINE,LTW,METHAM,MOJO,MONDO,MSOMH,NME,NORIP,NORTH,WEISS,PASTE,PICC,PFORK,POPMT,QTUS,RS,RTRADE,SLANT,SPTNIK,SGUM,STLISTN,TREBLE,UNCUT,UTR,WHYNW,WIRE,XSNZE,,AVG,WT-AVG,CONS SCORE,# Lists,Top 10s,#1s
Sufjan Stevens - Javelin,33,2,22,3,3,,3,,28,3,8,39,,,22,21,,4,,,31,2,4,11,7,5,19,2,19,6,19,,15,2,2,6,35,2,5,,2,9,,5,,11.74,0.3451557093,26.11363636,34,21,0
"Caroline Polachek - Desire, I Want To Turn Into You",45,3,26,6,2,,5,5,1,1,17,4,2,43,3,,,38,29,,,7,29,6,6,3,,4,15,2,4,,28,3,5,21,11,6,39,,3,,,,,12.79,0.3875114784,28.34090909,33,21,2
boygenius - the record,31,8,2,10,20,,44,48,7,11,,13,7,,15,2,,,18,,17,1,5,1,,4,,18,5,16,3,,2,,11,,5,,,26,7,3,,4,,12.13,0.4044444444,32.13636364,30,17,2
Mitski - The Land is Inhospitable and So Are We,12,15,41,1,6,,9,,33,2,27,2,,,5,5,,6,,,,28,9,9,17,6,,8,,23,29,,7,33,7,,4,,8,,11,39,,20,,14.55,0.501783591,35.15909091,29,16,1
Wednesday - Rat Saw God,2,6,,7,36,,2,,32,6,2,,42,,11,,,2,,,,49,,34,1,2,,1,,4,7,,27,11,6,3,1,3,9,30,9,,,,,12.78,0.4732510288,36.81818182,27,18,3
Lana Del Rey - Did you know that there's a tunnel...,6,12,9,9,12,,25,36,,16,3,11,,18,6,3,,,,,6,11,10,23,,9,,24,,11,28,,21,,1,,,,,6,16,17,,18,,13.59,0.5034293553,37.31818182,27,11,1
billy woods & Kenny Segal - Maps,43,10,,2,9,,4,,,7,4,,,3,14,,,8,,,21,,,,2,10,3,23,,3,25,,8,,47,5,3,7,2,,46,,24,,,13.32,0.5328,39.95454545,25,17,0
JPEGMAFIA & Danny Brown - SCARING THE HOES,30,18,48,15,16,,40,12,,5,5,,,11,34,,,10,,,,16,,15,4,27,2,38,,,,,19,22,,1,14,1,22,,32,,,,,18.28,0.7312,42.77272727,25,7,2
ANOHNI and the Johnsons - My Back Was A Bridge For You To Cross,,4,44,18,17,,24,8,12,,28,32,,,12,,,49,,,26,5,28,,,28,1,9,,9,,,17,36,17,,,9,10,38,,,19,,,20.00,0.8,43.75,25,8,1
Olivia Rodrigo - GUTS,17,,1,25,11,,28,,,18,,,,12,10,18,,50,37,,,6,35,2,,22,,15,,14,39,,5,,12,,2,,,,10,37,,,,18.52,0.8052930057,45.47727273,23,7,1
Jessie Ware - That! Feels! Good!,,20,,46,,,19,,15,,,21,,,4,,,,,,,9,1,20,14,26,,33,,22,1,,18,,3,36,21,,15,,5,,,,,17.45,0.8725,48.84090909,20,6,2
Young Fathers - Heavy Heavy,,,,,5,,33,,,,,,40,,2,,,3,30,,5,34,3,3,18,19,,37,,,5,,,5,44,10,,,,,40,,,9,,18.16,0.9556786704,50.45454545,19,10,0
Slowdive - everything is alive,,33,,22,26,,18,,45,,,9,37,,45,38,,35,,,39,36,43,,,39,,,1,,20,,,31,,,24,,25,12,6,,,21,,27.50,1.25,51.25,22,3,1
PJ Harvey - I Inside the Old Year Dying,,21,,,28,,50,25,,,,,44,,29,,,25,14,,2,,20,,,21,,44,34,,,2,,,18,,,32,31,4,,12,,2,,22.90,1.145,51.31818182,20,4,0
Kelela - Raven,,1,15,,14,43,13,39,,13,42,,,,19,,,17,,,,21,,,,,11,16,,17,,41,,,8,,26,,14,,,36,,,,21.37,1.12465374,51.84090909,19,2,1
Lankum - False Lankum,49,,,,33,,,13,,,,,13,,1,12,,33,,,3,30,2,,,17,,,,,,1,,4,35,18,,,,1,,,,6,,15.94,0.937716263,52.18181818,17,7,3
Yves Tumor - Praise A Lord Who Chews But Which Does Not Consume,,16,,24,27,,1,,,22,12,10,,,16,,,,,,,31,18,17,13,25,,21,,31,,,,,27,,32,,7,,,,,,,19.44,1.080246914,52.27272727,18,3,1
Fever Ray - Radical Romantics,,7,,5,34,,,22,,40,11,,45,39,41,,,18,,,,46,22,,,24,,,,8,,,,39,,,19,29,26,,,,28,23,,26.30,1.315,52.86363636,20,3,0
Julie Byrne - The Greater Wings,,22,,8,10,,,,,27,19,43,34,28,25,,,15,,,10,,24,,,,,6,,21,,,,28,,,44,16,,9,,,,,,21.61,1.200617284,53.15909091,18,5,0
Blur - The Ballad of Darren,,,,,44,,,,,,,,4,,8,11,,,49,,1,37,16,10,,43,,,44,,,,,,20,,,,,13,30,13,,1,,21.50,1.34375,55.54545455,16,5,2
Yo La Tengo - This Stupid World,13,13,,,,,,,,,,12,,,43,,,,21,,25,,26,,27,32,50,50,,38,,,49,,38,,,,40,5,25,,1,,,28.22,1.567901235,55.86363636,18,2,1
Noname - Sundial,,,,13,45,12,21,24,11,,34,,,,17,,,7,,,,,,,,,,25,,13,14,,13,,,,,26,,,,,18,,,19.53,1.302222222,56.09090909,15,1,0
Grian Chatten - Chaos For The Fly,,,,,,,,,,,,6,3,,33,9,,47,,,14,3,6,,,,,,7,,,,,10,,,,33,,,38,10,,16,,16.79,1.198979592,56.47727273,14,8,0
Ratboys - The Window,7,,,33,,,11,,,8,,,,,,,,24,,,,,,,36,12,,5,,,49,,,,13,,6,,1,,1,,,33,,17.07,1.219387755,56.56818182,14,6,2
Amaarae - Fountain Baby,,,,35,4,34,,11,,43,6,,,,9,,,5,,,,,,8,,,6,,,7,,,26,,4,,,,,,,,,,,15.23,1.171597633,57.34090909,13,8,0
Sofia Kourtesis - Madres,,19,31,,25,,,,41,25,,,,9,18,,,,,,,,17,7,,,8,10,,24,12,,,,,,,27,,,,,,,,19.50,1.392857143,57.34090909,14,4,0
Armand Hammer - We Buy Diabetic Test Strips,36,14,,2,24,,,47,,,,,,23,,,,,,,,,,,,33,3,46,,,23,,,8,34,,,19,4,,,,,,,22.57,1.612244898,58.31818182,14,4,0
Kara Jackson - Why Does The Earth Give Us People to Love?,,,,44,7,,26,30,,,47,,35,,31,,,1,,,,,,,44,,,12,,19,,,40,,43,,,4,,,,,,,,27.36,1.954081633,59.84090909,14,3,1
L'Rain - I Killed Your Dog,,24,,,21,,41,44,,,,,,,,,,20,,,,,19,,28,46,,7,,12,,22,47,,,,,31,23,,,,,,,27.50,1.964285714,59.88636364,14,1,0
Earl Sweatshirt & The Alchemist - Voir Dire,,50,,,13,21,30,,,20,,,,,,50,,,,,,,,26,,,13,,,,34,,,,,38,12,37,18,,,25,,,,27.64,1.974489796,59.93181818,14,0,0
"Mandy, Indiana - i've seen a way",,25,,36,,,,18,,,,19,,,44,,,23,,,,,30,,24,,,,42,20,43,,,19,,,,39,13,,,,,,,28.21,2.015306122,60.11363636,14,0,0
Sampha - Lahai,,30,,,1,47,,,8,,,,,,26,,,22,,,,45,33,,,7,,,,,33,,,,,16,,,,,47,5,,,,24.62,1.893491124,60.11363636,13,4,1
Paramore - This Is Why,19,,12,,,,,,,28,,,5,,21,,18,,,,,,,5,50,,,,28,,,,6,,,,,,46,,23,,,,,21.75,1.8125,60.47727273,12,3,0
Blondshell - Blondshell,35,,,30,,,32,40,,,,,9,,,,,9,,,,,,22,23,,,,,,24,,11,18,,,,,,,20,,,,,22.75,1.895833333,60.75,12,2,0
Yaeji - With A Hammer,,,,45,49,,,,,,,,,,7,,,19,,,,17,,24,39,,,,,15,,37,,,42,,22,8,24,,,,,,,26.77,2.059171598,60.75,13,2,0
"100 gecs - 10,000 gecs",9,,45,,,,,,,12,26,,,,,,26,,,,,50,,14,49,,,,,18,,,,,9,,10,,,,,,,,,24.36,2.214876033,62.34090909,11,3,0
Water From Your Eyes - Everyone's Crushed,,28,,,,,35,43,,,,,46,,35,,,,,,,,,28,30,45,,36,,27,41,,36,,,,29,,,,36,,,,,35.36,2.525510204,62.38636364,14,0,0
Jason Isbell and the 400 Unit - Weathervanes,,,,17,,,6,,43,,,,20,,,,,,,,,,,,,,,39,,,8,,25,,25,48,,,34,11,,,,,,25.09,2.280991736,62.52272727,11,2,0
Romy - Mid Air,,,25,,48,,,,19,,,,,,49,36,,,,,,4,7,13,,23,,,30,,,,,24,,,,,,,,,,,,25.27,2.297520661,62.56818182,11,2,0
yeule - softscars,,39,,,,,16,,,,33,,,,,,,27,,,,,,,,,,29,,10,,,,32,40,4,27,23,,,,,,,,25.45,2.314049587,62.61363636,11,2,0
Everything But The Girl - Fuse,,,,,,,,,,,,,,,28,,,,31,,9,,12,,,,,,,,,,46,17,23,,,,28,44,,4,,,,24.20,2.42,63.45454545,10,2,0
Militarie Gun - Life Under the Gun,25,,,14,,,,,,42,,25,,,,,15,21,,,,,,19,47,,,,,,,,,,,,7,,30,,,,,,,24.50,2.45,63.52272727,10,1,0
Nourished By Time - Erotic Probiotic 2,,36,,,,,,,,,43,,,1,,,,,,,,,,,,,17,17,11,5,,,,,,,34,36,,,,,,,,22.22,2.469135802,64.20454545,9,2,1
Danny Brown - Quaranta,,,,15,,44,,,,,,,,,38,,,30,,,,,,,,30,15,,,,,9,,,,31,,,,,,8,,,,24.44,2.716049383,64.65909091,9,2,0
jaimie branch - Fly or Die Fly or Die Fly or Die ((world war)),,46,,,,,,,,,37,,,,48,,,,,,7,,,,26,,,13,,28,,,,,,,,35,,32,,,37,,,30.90,3.09,64.97727273,10,1,0
Lil Yachty - Let's Start Here,,38,8,,,10,,17,,38,,,,,,,,,,,,,,50,,,,,,,,,4,,,,,,,,,2,,,,20.88,2.609375,65.15909091,8,4,0
bar italia - Tracey Denim,,,,,41,,,,,,48,44,21,17,,,,,,,,,,,43,8,,,3,,,,,,,,,24,,,,,,,,27.67,3.074074074,65.31818182,9,2,0
Corinne Bailey Rae - Black Rainbows,,,,,,,,,,,,,1,,,,,29,,,34,,13,36,32,,,,,,,,,,,,,,,14,,,,19,,22.25,2.78125,65.40909091,8,1,1
Bully - Lucky For You,1,,,,,,,,,,,,,,,,,,,,,,,,22,34,,11,,,,,,,,,13,,12,,17,,,,,15.71,2.244897959,65.56818182,7,1,1
Troye Sivian - Something To Give Each Other,,,3,,42,,46,50,,,,,,,13,,,,,,,,,4,,49,,,,,,,34,,31,,,,,,,,,,,30.22,3.358024691,65.84090909,9,2,0
King Krule - Space Heavy,,,,,22,,,,,,,,,29,,33,,,,,,,,,42,14,,,,,37,,,,37,,,,,,,1,,,,26.88,3.359375,66.25,8,1,1
Queens of the Stone Age - In Times New Roman...,,,,,,,,,,,,,,,,31,40,,12,,,40,,12,,,,,49,,,,,37,,,,,,,,,,8,,28.63,3.578125,66.56818182,8,1,0
Joanna Sternberg - I've Got Me,,11,,34,,,,,,,,7,,50,,,,40,,,,,,,,,,,,34,,,,38,29,,,,,,,,,,,30.38,3.796875,66.88636364,8,1,0
Foo Fighters - But Here We Are,,,,,,,39,,50,,,,,,,,1,,,44,,15,,16,,,,,,,,,,,,,,,,,,19,,,,26.29,3.755102041,67.25,7,1,1
Hotline TNT - Cartwheel,,,,,,,38,,,,,,,,,,,,,,,,,,3,16,,42,,,,,,,,,8,,6,,,,,,,18.83,3.138888889,67.34090909,6,3,0
Indigo De Souza -  All of This Will End,,,,,,,29,,,,,,,,,,,,,,,,,,,,,19,,,,,,,19,,16,13,,,21,,,,,19.50,3.25,67.43181818,6,0,0
Laurel Halo - Atlas,,,,,15,,,15,,33,41,,,24,,,,,,,,,,,,,,,,26,40,,,,,,,,,,,,,,,27.71,3.959183673,67.47727273,7,0,0
Sleaford Mods - UK GRIM,,,,,,,,,,,,,,,,,,,34,,37,,34,,,40,,,,,,45,,26,,,,,,,,47,,7,,33.75,4.21875,67.5,8,1,0
Overmono - Good Lies,,,,,37,,,,10,,,,,,,,,,,,,,,,,,45,,10,,,,,9,,,42,,,,,48,,,,28.71,4.102040816,67.63636364,7,3,0
Tomb Mold - The Enduring Spirit,,,,23,,,,,,4,,,,,,,,,,26,,,,,,,,,,45,,,,,,,28,,3,,,,,,,21.50,3.583333333,67.70454545,6,2,0
feeble little horse - Girl with Fish,,,,,,,23,,,,,,,,,,,,,,,,,,10,15,,27,,,,,,,,,39,17,,,,,,,,21.83,3.638888889,67.75,6,1,0
The Lemon Twigs - Everything Harmony,,,,,,,,,,,,5,,,37,,,,,,,,,,16,,,20,,,,,,,,,,12,,,42,,,,,22.00,3.666666667,67.77272727,6,1,0
"Arooj Aftab, Vijay Iyer & Shahzad Ismaily - Love in Exile",,35,,,,,34,,,,,,,,,,,,,,16,,,,,,27,,,25,,,,,,,,,49,33,,,,,,31.29,4.469387755,68.04545455,7,0,0
Loraine James - Gentle Confrontation,,,,,8,,,,,26,,,,,36,,,,,,,,,25,,,,,,,13,,,,,,,,36,,,,,,,24.00,4,68.04545455,6,1,0
파란노을 [Parannoul] - After the Magic,,29,,,,,14,,,,,,,,,,,,,,,,,,38,,,,,47,,,,,,2,15,,,,,,,,,24.17,4.027777778,68.06818182,6,1,0
Janelle Monáe - The Age of Pleasure,,,35,41,,,31,,49,,,,15,,30,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,31.57,4.510204082,68.09090909,7,0,0
Liv.e - Girl in the Half Pearl,,,,,31,,,,,,,,,,,,,,,,,,,,19,,14,,,39,,,,,50,,38,,,,,,32,,,31.86,4.551020408,68.13636364,7,0,0
Avalon Emerson - & The Charm,,,,,,,,19,,17,,,,19,,,,,,,,,,,,,36,,,30,,,,29,,,,,,,,,,,,25.00,4.166666667,68.18181818,6,0,0
Veeze - Ganger,,,,,,16,,,,,20,,,,,,,,,,,,,,,,7,,,35,,,39,,,,33,,,,,,,,,25.00,4.166666667,68.18181818,6,1,0
MSPAINT - Post-American,3,,,19,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,32,,,,,,,16.40,3.28,68.34090909,5,2,0
shame - Food For Worms,,,,,,,,,,47,,,,,,19,,,,,,29,,,8,42,,,,,,,,48,,,,,,,41,,,,,33.43,4.775510204,68.38636364,7,1,0
The Murder Capital - Gigi's Recovery,,,,,,,,,,,,18,39,,,8,,,,,,,,,5,,,,17,,,,,,,,,,,,,,,,,17.40,3.48,68.45454545,5,2,0
Andre 3000 - New Blue Sun,,26,,,,,47,,,,,,,6,,,,,,,,,,,,29,5,,,50,,,,,,,,,,,,,,,,27.17,4.527777778,68.47727273,6,2,0
"CMAT - Crazymad, For Me",,,,,40,,,,,,,,,,50,1,,,46,,,,14,44,,,,,,,,,,,,,,,,,44,,,,,34.14,4.87755102,68.5,7,1,1
Model/Actriz - Dogsbody,,9,,29,,,,,,23,,,,,,,,,,,,42,,,,,,,,33,,,31,,,,,,,,,,,,,27.83,4.638888889,68.56818182,6,1,0
Zach Bryan - Zach Bryan,,,4,38,,,8,,,,,,,,,,,,,,,33,,,,,,,,,,,10,,,,,,,,,,,,,18.60,3.72,68.59090909,5,3,0
McKinley Dixon - Beloved! Paradise! Jazz!?,,,,,,,7,,,,,,,,,,,13,,,,,,,,,,3,,,,,,,,32,,40,,,,,,,,19.00,3.8,68.63636364,5,2,0
Nation of Language - Strange Disciple,,,,,50,,,,,,,,,,,,,,,,,,,,,41,,35,,,31,,,1,,,,,,,12,,,,,28.33,4.722222222,68.63636364,6,1,1
Sexyy Red - Hood Hottest Princess,,,40,42,,23,,,,,13,,,,,,,,,,,,,,,,42,,,41,,,,,,,46,,,,,,,,,35.29,5.040816327,68.68181818,7,0,0
Wilco - Cousin,,,,,,,,,,,,,,,,,,,28,,11,,,,,,,,,,,,,,,,,,,3,15,,,40,,19.40,3.88,68.68181818,5,1,0
Geese - 3D Country,,,,,,,,,,,,,18,,,22,,,,,,,,42,,36,,,,,,,,,,,,5,,,50,,,,,28.83,4.805555556,68.70454545,6,1,0
John Cale - Mercy,,,,,,,,,,,,27,,,,,,,,,22,,,,,,,,,,,,,,,,,,,10,27,14,,,,20.00,4,68.75,5,1,0
Ice Spice - Like...?,,,18,21,,9,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,21,,,,,,,,,,,20.20,4.04,68.77272727,5,1,0
SZA - SOS,,,,,,2,,,,,25,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,7.25,1.8125,68.84090909,4,3,2
The National - First Two Pages of Frankenstein,,,,,,,,,,,,,,,32,10,,,,,,,,,,37,,,,,,,,,,,,,,8,,,,17,,20.80,4.16,68.84090909,5,2,0
Home Is Where - the whaler,16,23,,4,,,,,,32,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.20,4.24,68.88636364,5,1,0
Jess Williamson - Time Ain't Accidental,,27,,,,,,,,,,,,30,,,,28,,,,,,,,,,26,,44,,,,,,,,,,,26,,,,,30.17,5.027777778,68.88636364,6,0,0
Victoria Monét - JAGUAR II,,,5,,47,6,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,40,,,,,,,,,21.40,4.28,68.90909091,5,3,0
bdrmm - I Don't Know,,,,,,,,,,,,23,12,,,,,14,,,,,,,,,,,33,,,,,27,,,,,,,,,,,,21.80,4.36,68.95454545,5,0,0
The Armed - Perfect Saviors,,,,,,,,,,,22,,,,,,34,,,,,14,,,,20,,,,,,,,,,,,,21,,,,,,,22.20,4.44,69,5,0,0
Jungle - Volcano,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,16,,10,,,47,,,,,,,,32,,,,23.40,4.68,69.13636364,5,1,0
Kali Uchis - Red Moon In Venus,,,,,,35,,,,,16,,,,23,,,,,,,,,,,,,,,43,,,29,,46,,,,,,,,,,,32.00,5.333333333,69.13636364,6,0,0
Yussef Dayes - Black Classical Music,,,,,35,,,,,,,,,,,,,,,,,,,,,,33,,21,,22,,,6,,,,,,,,,,,,23.40,4.68,69.13636364,5,1,0
The Clientele - I Am Not There Anymore,,,,,,,,,,,,20,,,,,,,,,,,45,,20,,,,,,,,,,,,,,,16,,,17,,,23.60,4.72,69.15909091,5,0,0
Slow Pulp - Yard,26,,,,,,,,,,,46,,,,,,,,,,,,,,11,,47,,,,,,,,,17,47,,,,,,,,32.33,5.388888889,69.18181818,6,0,0
Jim Legxacy - homeless n*gga pop music,,,,,,,,1,,,46,,,25,42,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,24.60,4.92,69.27272727,5,2,1
KAYTRAMINÉ - KAYTRAMINÉ,,,14,,,41,,,,34,,,,,,,,41,,,,,,31,,,,,,,,,38,,,,,,,,,,,,,33.17,5.527777778,69.29545455,6,0,0
Susanne Sundfør - blómi,,44,,,,,,,,,,,6,,,,,,,,45,,,,,,,,,,,,,,45,,,28,,,,,,32,,33.33,5.555555556,69.31818182,6,1,0
Jeff Rosenstock - HELLMODE,4,42,,,,,,,,36,,,,,,,,,,,,,,,40,31,,,,,,,,,,,,,48,,,,,,,33.50,5.583333333,69.34090909,6,1,0
blink-182 - ONE MORE TIME...,39,,,,,,,,,,,,,,,,16,,,,,38,,,,,,,,,,,,,,24,,,,,,,,10,,25.40,5.08,69.36363636,5,1,0
Beach Fossils - Bunny,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,6,,15,,,34,,,,,,,,,,,,14.00,3.5,69.45454545,4,2,1
PinkPantheress - Heaven knows,,,38,,,32,,,,,,,,,,,,,,,,,,29,,,29,,,,,,,,30,,,,,,,49,,,,34.50,5.75,69.47727273,6,0,0
Lisa O'Neill - All Of This Is Chance,,,,,,,,,,,,,30,,,29,,,,,24,,,,,,,,,,,33,,,,,,,,17,,,,,,26.60,5.32,69.5,5,0,0
BC Camplight - The Last Rotation of Earth,,,,,,,,,,,,,11,,,,,,,,15,,,,35,,,,,,,,,,,,,,,42,,,,31,,26.80,5.36,69.52272727,5,0,0
Feist - Multitudes,,,,27,,,,,,15,,,,,,,,,,,,26,,,,,,,,,,,,,,,25,,,45,,,,,,27.60,5.52,69.61363636,5,0,0
The Rolling Stones - Hackney Diamonds,,,,,,,,,,,,,,,,30,,,,,,,,43,,,,,,,,,,,,,,,,18,,23,,25,,27.80,5.56,69.63636364,5,0,0
Benefits - Nails,,,,,,,,,,,,28,,,,,,42,1,,,,,41,,,,,,,,39,,,,,,,,,,,,,,30.20,6.04,69.90909091,5,1,1
Killer Mike - MICHAEL,,,36,,,5,36,,47,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,30.20,6.04,69.90909091,5,1,0
MIKE - Burning Desire,,,,39,,31,,,,31,50,,,,,,,,,,,,,,,,41,,,,,,,,,34,,,,,,,,,,37.67,6.277777778,69.90909091,6,0,0
KAROL G - MAÑANA SERÁ BONITO,,,6,,,14,,,,,,,,,,,,,,,,,,46,,,,,,,,,14,,,,,,,,,,,,,20.00,5,70,4,1,0
Depeche Mode - Memento Mori,,,,,,,,,,,,,,,,,,,42,,35,,,49,,,,,,,,,,,,,,,,29,,,,3,,31.60,6.32,70.06818182,5,1,0
"Christine and the Queens - PARANOÏA, ANGELS, TRUE LOVE",,,,,29,,,,,,,,,,,39,,,,,,,,,,,,,,,,,23,,41,,,,,,,29,,,,32.20,6.44,70.13636364,5,0,0
Hozier - Unreal Unearth,,,27,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,33,,22,,21.50,5.375,70.13636364,4,1,0
Travis Scott - UTOPIA,,,21,,,3,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,21.75,5.4375,70.15909091,4,1,0
Gorillaz - Cracker Island,,,,,,,,,,,,,,,,28,,,44,,,,,,,,,,,,50,,,,,,,,,,,27,,15,,32.80,6.56,70.20454545,5,0,0
Nabihah Iqbal - DREAMER,,,,,,,,,,,,,38,,20,,,,,,,,,,,,,,2,,,32,,,,,,,,,,,,,,23.00,5.75,70.27272727,4,1,0
Squid - O Monolith,,,,,,,,,,,,,,,,,,,,,,18,,,,48,,,18,,,,,,,,,11,,,,,,,,23.75,5.9375,70.34090909,4,0,0
Youth Lagoon - Heaven Is a Junkyard,,5,,,,,,,,,,,,,,,,,,,,,,,,18,,30,,42,,,,,,,,,,,,,,,,23.75,5.9375,70.34090909,4,1,0
Shirley Collins - Archangel Hill,,,,,,,,,,,,,,,,,,,,,36,,15,,,,,,,,,23,,,,,,,,22,,,,,,24.00,6,70.36363636,4,0,0
Gabriels - Angels & Queens,,,,,,,,,31,,,,,,,,,,,,,32,50,,37,,,,22,,,,,,,,,,,,,,,,,34.40,6.88,70.38636364,5,0,0
The Hives - The Death of Randy Fitzsimmons,,,,,,,,,37,,,16,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,45,,29,,34.60,6.92,70.40909091,5,0,0
Sleep Token - Take Me Back To Eden,,,,,,,,,,,,,,,,,3,,,4,,,,21,,,,,,,,,,,,,,,,,,,,,,9.33,3.111111111,70.52272727,3,2,0
Chappell Roan - The Rise and Fall of a Midwest Princess,5,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,10.00,3.333333333,70.56818182,3,1,0
Metallica - 72 Seasons,,,,,,,20,,,,,,,,,,7,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,10.67,3.555555556,70.61363636,3,2,0
Say She She - Silver,,,,,,,,,,,,37,8,,,,,,,,,,36,,,,,,26,,,,,,,,,,,,,,,,,26.75,6.6875,70.61363636,4,1,0
Zulu - A New Tomorrow,,,,,,,,21,,,,,,,,,24,,,38,,25,,,,,,,,,,,,,,,,,,,,,,,,27.00,6.75,70.63636364,4,0,0
Avenged Sevenfold - Life Is But a Dream...,,,,,,,,,,,,,,,,,6,,,2,,,,,,,,,,,,,,,,26,,,,,,,,,,11.33,3.777777778,70.65909091,3,2,0
Paris Texas - MID AIR,,,,,,,12,,,,,,,,,,,37,,,,24,,37,,,,,,,,,,,,,,,,,,,,,,27.50,6.875,70.68181818,4,0,0
Margo Price - Strays,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,18,,,,26,,,,,49,,,,,,28.50,7.125,70.77272727,4,0,0
DEBBY FRIDAY - GOOD LUCK,,,,,,,,14,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,13.67,4.555555556,70.81818182,3,1,0
Fatoumata Diawara - London Ko,,,,,,,,,,,,38,,,,,,,,,28,20,,,,,,,,,30,,,,,,,,,,,,,,,29.00,7.25,70.81818182,4,0,0
The Chemical Brothers - For That Beautiful Feeling,,,,,,,,,22,,,,,,,,,,,,,,41,,,,,,23,,,,,,,,,,,,,30,,,,29.00,7.25,70.81818182,4,0,0
JOHN - A Life Diagrammatic,,,,,,,,,,,,,19,,,,,,3,,,,,,,,,,20,,,,,,,,,,,,,,,,,14.00,4.666666667,70.84090909,3,1,0
Animal Collective - Isn't It Now?,,17,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,21,33,,,29.50,7.375,70.86363636,4,0,0
RVG - Brain Worms,,,,,,,,,3,,,,,,,,,,20,,,,,,,,,,,,,,,20,,,,,,,,,,,,14.33,4.777777778,70.86363636,3,1,0
Little Simz - NO THANK YOU,,,,,,27,,,4,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,15.00,5,70.90909091,3,1,0
The National - Laugh Track,,,,,,,,,,,,,,,39,,,,,,,,39,32,,,,,35,,,,,,,50,,,,,,,,,,39.00,7.8,70.90909091,5,0,0
Teenage Fanclub - Nothing Lasts Forever,,,,,,,,,,,,,,,,,,,,,23,,46,,,,,,,,,,,49,,,,,,35,,,,44,,39.40,7.88,70.95454545,5,0,0
Greg Mendez - Greg Mendez,18,,,,,,,,,,,,,,,,,,,,,,,,33,50,,22,,,,,,,,,,,,,,,,,,30.75,7.6875,70.97727273,4,0,0
Andy Shauf - Norm,,,,,,,,,,,,22,16,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,16.33,5.444444444,71,3,0,0
Doja Cat - Scarlet,,,7,,38,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.33,5.444444444,71,3,2,0
a.s.o. - a.s.o.,,,,,,,,4,,,1,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.00,5.666666667,71.04545455,3,2,1
Ryuichi Sakamoto - 12,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,40,,,,,24,,,,,,,,20,,,31.50,7.875,71.04545455,4,0,0
Khanate - To Be Cruel,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,7,,,,,,,,,,,4,,,17.67,5.888888889,71.09090909,3,2,0
Palehound - Eye On The Bat,,,,,,,,,14,,,,,,,,,,,,,,,,29,,,,,,,,,,,,48,,,,37,,,,,32.00,8,71.09090909,4,0,0
Spanish Love Songs - No Joy,32,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,24,,32.00,8,71.09090909,4,0,0
Bad Bunny - nadie sabe lo que va a pasar mañana,,,17,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,18.67,6.222222222,71.15909091,3,1,0
Reverend Kristin Michael Hayter - SAVED!,,,,,,,,,,,18,,,,,,44,,,,,,,,,,,32,,,,,,,,,,,37,,,,,,,32.75,8.1875,71.15909091,4,0,0
Sweeping Promises - Good Living Is Coming For You,,,,48,,,,,,49,,,,,,,,,,,,,,,,,,34,,49,,,,,,,,,29,,,,,,,41.80,8.36,71.22727273,5,0,0
Willie J Healey - Bunny,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,31,,,,,,,,,14,,,,,,,,19.67,6.555555556,71.22727273,3,0,0
